jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,rbversion,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,obj_id
2458494.9633102,1,740463315715,20.643699645996094,/ztf/archive/sci/2019/0111/463299/ztf_20190111463299_000521_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,740,57,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t15_f5_c3,26.248300552368164,2.0681800378952175e-05,0.03426250070333481,-0.05940239876508713,2.896029945986811e-05,ZTF18accwjiu
2458502.9397801,1,748439785715,19.285400390625,/ztf/archive/sci/2019/0119/439722/ztf_20190119439722_000521_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,748,57,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t15_f5_c3,26.317399978637695,6.306119757937267e-05,0.04794979840517044,-0.11702500283718109,0.00012702299864031374,ZTF18accwjiu
2458503.0037963,2,748503795715,19.315799713134766,/ztf/archive/sci/2019/0119/503785/ztf_20190119503785_000521_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,748,57,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t15_f5_c3,26.04290008544922,2.180179944843985e-05,0.035162001848220825,0.09517910331487656,2.972129914269317e-05,ZTF18accwjiu
2458509.0251968,1,754525195715,19.301599502563477,/ztf/archive/sci/2019/0125/525185/ztf_20190125525185_000521_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,754,57,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t15_f5_c3,26.220399856567383,4.025470116175711e-05,0.0365276001393795,-0.013778899796307087,7.940830255392939e-05,ZTF18accwjiu
2458494.9559375,2,740455931515,20.59709930419922,/ztf/archive/sci/2019/0111/455903/ztf_20190111455903_000572_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,7.40455931515015e+17,t,60.0,740,15,572,1887.18994140625,2585.949951171875,156.6289502,15.340889,19.42690086364746,0.09371200203895569,1.8325200080871582,19.38050079345703,0.1445000022649765,2.3921399116516113,19.434999465942383,0.1289999932050705,6.565000057220459,0.824999988079071,0.24497100710868835,-0.04639500007033348,2.069999933242798,0.9909999966621399,494.552001953125,1.2166399955749512,1.1833100318908691,0.7789999842643738,0.7059999704360962,0.3763290047645569,0.341062992811203,1.1033999919891357,2.0,0.0,0.7357140183448792,0.9735230207443237,19.4064998626709,0.1891999989748001,156.6296058,15.3406459,18.8842,t15_f5_c3,26.13290023803711,1.0177000149269588e-05,0.023228999227285385,0.10212600231170654,1.373309987684479e-05,ZTF18accwjiu
2458494.9818403,1,740481841515,20.874300003051758,/ztf/archive/sci/2019/0111/481829/ztf_20190111481829_000572_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,740,15,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t15_f5_c3,26.244800567626953,1.3590100024885032e-05,0.027001099660992622,-0.06755310297012329,1.844749931478873e-05,ZTF18accwjiu
2458502.9402431,1,748440241515,19.503000259399414,/ztf/archive/sci/2019/0119/440231/ztf_20190119440231_000572_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,748,15,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t15_f5_c3,26.277599334716797,3.79980010620784e-05,0.040181901305913925,-0.09096740186214447,6.569000106537715e-05,ZTF18accwjiu
2458503.0195139,2,748519511515,19.620100021362305,/ztf/archive/sci/2019/0119/519502/ztf_20190119519502_000572_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,748,15,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t15_f5_c3,26.11440086364746,2.248430064355489e-05,0.033977799117565155,0.10316099971532822,3.0149300073389895e-05,ZTF18accwjiu
2458509.0256481,1,754525641515,19.230300903320312,/ztf/archive/sci/2019/0125/525637/ztf_20190125525637_000572_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,754,15,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t15_f5_c3,26.21139907836914,6.62241000100039e-05,0.04284929856657982,-0.04906550049781799,0.0001254579983651638,ZTF18accwjiu
2458511.8938079,2,757393801515,20.33489990234375,/ztf/archive/sci/2019/0128/393808/ztf_20190128393808_000572_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,7.57393801515015e+17,t,44.0,757,15,572,1895.280029296875,2544.239990234375,156.6288604,15.3408366,20.007299423217773,0.14962400496006012,1.092210054397583,20.201400756835938,0.35749998688697815,2.64520001411438,19.434999465942383,0.1289999932050705,6.565000057220459,0.824999988079071,0.601639986038208,0.19413499534130096,2.7799999713897705,0.9269999861717224,536.2650146484375,0.13345499336719513,0.9271910190582275,0.7289999723434448,0.6850000023841858,0.2622300088405609,0.24640299379825592,1.064229965209961,4.0,0.0,0.75,0.9538729786872864,19.928699493408203,0.35749998688697815,156.6296058,15.3406459,9.7577,t15_f5_c3,26.14430046081543,9.984350072045345e-06,0.02311920002102852,0.10158199816942215,1.3540899999497924e-05,ZTF18accwjiu
